fiber_node;address;coordinate
FPII12D01;KEBULEN AREA (1);-6.901116,109.675625
FPAA06D03;DEKORO AREA (3);-6.893826,109.689821
FPAA08D01;KERGON AREA (1);-6.88755,109.697821
FPUK01D01;DUKUH AREA (1);-6.875693,109.664724
FPUK07D01;KERGON AREA (2);-6.891656,109.671969
FPEJ09D02;MEDONO AREA (2);-6.907232,109.67103
FPII04D01;KURIPAN KIDUL AREA (1);-6.929851,109.678926
FPEJ09D01;MEDONO AREA (1);-6.905564,109.670228
FPAA01D01;TEGALREJO AREA (1);-6.887142,109.670905
FPII06D03;SOKODUWET AREA (4);-6.924465,109.692108
FPAA06D01;DEKORO AREA (1);-6.892525,109.686828
FPUK03D01;KANDANG PANJANG AREA;-6.875445,109.673039
FPII06D02;SOKODUWET AREA (3);-6.924425,109.694834
FSAC10D02;AMBOWETAN AREA (2);-6.882467,109.550027
FPUC03D03;PURWOHARJO AREA (1);-6.903487,109.533832
FPM03100;KALIGELANG AREA (4);-6.913188,109.401681
FSAC07D02;KAUMAN AREA (4);-6.879034,109.521657
FPM01100;CIBELOK AREA (2);-6.920913,109.409035
FSAC13D01;KERTOSARI AREA (1);-6.847032,109.559385
FPM02900;CIBELOK AREA (3);-6.920455,109.395681
FPUC07D01;SIDOREJO AREA (2);-6.892858,109.543889
FSAC11D01;ROWOSARI AREA (1);-6.875942,109.564379
FPUC03D02;PURWOHARJO AREA (5);-6.900825,109.52903
FPUC12D01;PECANGAKAN AREA (3);-6.918524,109.537207
FAGS02D03;SIRANGKANG AREA (1);-6.900994,109.481338
FPM01400;BANJARAN AREA (2);-6.911441,109.414394
FPSW11D01;WANAREJAN UTARA AREA (1);-6.888145,109.406735
FPUC03D01;PURWOHARJO AREA (3);-6.89839,109.53276
FSAC11D02;ROWOSARI AREA (2);-6.882014,109.564889
FPKA04D03;PELUTAN AREA (4);-6.887757,109.379509
FSAC08D03;PURWOHARJO AREA (4);-6.89828,109.528142
FPUC08D04;PECANGAKAN AREA (2);-6.915446,109.538631
FPM02000;BANJARDAWA AREA (1);-6.912235,109.408668
FPM01300;BANJARAN AREA (1);-6.914656,109.414854
FMOT08D04;MULYOHARJO AREA (10);-6.892394,109.391241
FMOT06D03;MULYOHARJO AREA (9);-6.896054,109.384238
FPUC09D01;TUMBAL AREA (1);-6.925541,109.55055
FPUC09D02;TUMBAL AREA (2);-6.920114,109.55273
FPUC10D01;PENCANGAKAN AREA (4);-6.92141,109.541883
FPM02400;WANAREJAN UTARA AREA (2);-6.890823,109.401571
FPRK09D02;ISER AREA (3);-6.895516,109.468141
FPUC04D03;PURWOHARJO AREA (1);-6.899511,109.533681
FPM01200;SAPPHIRE RESIDENCE;-6.894429,109.422595
FPRK05D02;ASEMDOYONG AREA (2);-6.865149,109.420597
FPRK05D01;ASEMDOYONG AREA (1);-6.858764,109.421625
FPM01900;KALIGELANG AREA (3);-6.910353,109.399721
FAGS02D02;CIBIYUK AREA (1);-6.901102,109.494466
FPSW05D01;PELUTAN AREA (1);-6.885657,109.386464
FPKA05D01;TAMBAKREJO AREA (2);-6.893858,109.353283
FPM02800;PERUM ROYAL GARDEN 2;-6.895076,109.396891
FSAC01D01;WONOKROMO AREA (1);-6.850216,109.518756
FPSW09D02;WIDURI AREA (5);-6.868976,109.382567
FPSW04D01;KABUNAN AREA (1);-6.890016,109.415634
FPSW02D03;PERUM PEPABRI SUGIHWARAS;-6.876833,109.372587
FPSW07D01;SUGIHWARAS AREA (4);-6.871038,109.36829
FPM02500;BANJARAN AREA (3);-6.910466,109.415741
FPUC10D02;GEBYOG AREA (1);-6.917133,109.534182
FPKA02D02;PERUM BALE AGUNG;-6.915213,109.372832
FAGS07D01;PESUCEN AREA (4);-6.899163,109.492994
FPKA03D03;BOJONGBATA AREA (8);-6.903826,109.385312
FPKA07D01;SEWAKA AREA (4);-6.933478,109.374718
FMOT07D02;MULYOHARJO AREA (8);-6.893247,109.386203
FPRK01D01;KABUNAN AREA (2);-6.887405,109.41845
FPM01600;BEJI AREA (2);-6.893942,109.41487
FSAC04D01;SUSUKAN AREA (1);-6.870194,109.525456
FPRK04D01;KALIRANDU AREA (1);-6.893824,109.463258
FPKA01D03;PEMALANG INDAH REGENCY 6;-6.915542,109.376395
FPKA06D05;MENGORI AREA (2);-6.928904,109.376975
FPM02200;SARADAN AREA (2);-6.928151,109.398016
FPKA06D03;SEWAKA AREA (3);-6.929939,109.381425
FSAC08D02;PURWOHARJO AREA (2);-6.898803,109.526435
FPM01500;BEJI TAMAN AREA (1);-6.896326,109.425313
FPRK09D01;PETARUKAN AREA (1);-6.894843,109.460648
FAGS01D03;ISER AREA (2);-6.903191,109.474029
FMOT08D03;WANAREJAN SELATAN;-6.899062,109.393548
FPSW03D02;WANAREJAN UTARA AREA (3);-6.88772,109.400726
FPRK02D03;PETARUKAN AREA (5);-6.890898,109.456824
FAGS02D01;PESUCEN AREA (5);-6.900141,109.487666
FPKA02D05;MENGORIA AREA (1);-6.923782,109.374317
FPRK07D01;PETARUKAN AREA (4);-6.896599,109.453291
FPUC05D02;PURWOSARI AREA (5);-6.909727,109.539413
FPKA06D04;SEWAKA AREA (2);-6.933349,109.385928
FPKA04D02;PELUTAN AREA (2);-6.890288,109.371491
FPSW03D01;WANAREJAN SELATAN AREA (2);-6.886148,109.397954
FPM00500;PERUM WISMA TAMAN MANDIRI;-6.900773,109.406834
FPSW01D02;SUGIHWARAS AREA (2);-6.910057,109.384646
FPM01000;CIBELOK AREA (1);-6.921672,109.404106
FPUC04D02;PURWOSARI AREA (4);-6.90313,109.538999
FPKA01D04;KEBONDALEM AREA (3);-6.900474,109.379888
FMOT01D04;SARADAN AREA (1);-6.926171,109.387363
FPM00400;MULYOHARJO AREA (4);-6.897305,109.390413
FPUC04D01;SIKAYU AREA (1);-6.900274,109.541484
FMOT05D01;MULYOHARJO AREA (5);-6.908805,109.388482
FPM00600;TAMAN AREA (1);-6.901037,109.404664
FPKA11D01;BOJONGNANGKA AREA (1);-6.902364,109.360281
FMOT01D05;BOJONGBATA AREA (5);-6.915316,109.382868
FMOT04D01;BOJONGBATA AREA (2);-6.910057,109.384646
FPUC08D02;PECANGAKAN AREA (1);-6.913686,109.535426
FMOT06D02;KALIGELANG AREA (1);-6.904113,109.389875
FMOT07D01;KEBONDALEM AREA (4);-6.898122,109.381811
FMOT03D01;WANAREJEN AREA (1);-6.88894,109.39055
FMOT10D01;PERUMAHAN GRAND LESTARI AGUNG;-6.897355,109.400798
FPSW02D02;SUGIHWARAS AREA (3);-6.87938,109.376393
FMOT08D02;PERUM GRAND LESTARI AGUNG 2;-6.901861,109.394771
FPSW10D02;WIDURI AREA (3);-6.864811,109.380287
FMOT10D02;TAMAN AREA (2);-6.895313,109.401028
FPUC08D03;PURWOSARI AREA (3);-6.910538,109.539347
FMOT09D01;BOJONGBATA AREA (7);-6.914086,109.387429
FMOT01D06;BOJONGBATA AREA (6);-6.916497,109.389208
FMOT03D02;MULYOHARJO AREA (7);-6.889677,109.393079
FPKA01D02;BOJONGBATA AREA (4);-6.914383,109.382528
FMOT08D01;GRIYA MULYOHARJO PERMAI;-6.898842,109.396125
FPUC05D01;PURWOSARI AREA (2);-6.907458,109.535691
FPKA03D02;KEBONDALEM AREA (2);-6.89732,109.377327
FMOT06D01;PEMALANG RESIDENCE;-6.905096,109.392574
FPKA02D03;PERUMAHAN TAMAN ANGGUR REFAONDA;-6.915341,109.374137
FPKA06D02;SEWAKA AREA (1);-6.926228,109.382573
FMOT05D02;GRIYA BANJAR ARUM;-6.920458,109.391328
FMOT02D03;MULYOHARJO AREA (2);-6.908762,109.38735
FMOT01D01;BOJONGBATA AREA (1);-6.920312,109.385779
FPSW09D01;PERUMAHAN WIDURI ASRI;-6.871124,109.380439
FSAC08D01;SIDOREJO AREA (1);-6.913628,109.541844
FPRK02D01;PETARUKAN AREA (2);-6.885208,109.457869
FMOT02D01;PERUM PURI PRAJA KENCANA;-6.910208,109.386588
FPUC08D01;PURWOSARI AREA (1);-6.913628,109.541843
FPKA04D01;TAMBAKREJO AREA (1);-6.894386,109.365856
FPSW01D01;SUGIWARAS AREA (1);-6.866387,109.372674
FPSW10D01;WIDURI AREA (1);-6.867253,109.380534
FPSW08D01;WIDURI AREA (2);-6.869193,109.378411
FMOT02D02;MULYOHARJO AREA (1);-6.903587,109.387172
FMOT01D02;PERUMAHAN BOJONG PERMAI;-6.920554,109.388936
FPKA03D01;KEBONDALEM AREA (1);-6.899954,109.375641
FPKA06D01;PERUMAHAN SEWAKA INDAH;-6.926204,109.383336
FPKA02D04;KOTA BALE AGUNG MENGORI;-6.922757,109.377732
FAGS08D01;PESUCEN AREA (3);-6.887771,109.501502
FAGS01D02;ISER AREA (1);-6.899614,109.474757
FAGS06D01;PANJUNAN AREA (1);-6.869216,109.50298
FGNM17D07;TAMANAGUNG AREA (7);-7.57827,110.26488
FDXB06D03;RAMBEANAK AREA (3);-7.57863,110.22675
FGNM07D03;KEMIRIOMBO RW 02;-7.60064,110.27697
FDXB06D04;RAMBEANAK AREA (4);-7.5889,110.22344
FDXB06D01;RAMBEANAK AREA (1);-7.58269,110.22498
FGNM06D06;GULON RW 15;-7.60253,110.29114
FDXB06D05;RAMBEANAK AREA (5);-7.59339,110.22542
FDXB13D02;KARANG ANYAR AREA (2);-7.61922,110.18765
FBJN09D05;SUKOREJO RW 10;-7.54606,110.19987
FGNM17D02;TAMAN AGUNG AREA (2);-7.57412,110.27682
FBJN16D02;LAGUNA RESIDENCE (2);-7.547875,110.195892
FDXB14D03;DUSUN BANAR RW 06;-6.33157,108.335184
FBJN07D06;KIJINGSARI WETAN;-7.526352,110.172388
FGNM05D10;GUNUNGPRING AREA (22);-7.596587,110.279528
FDXB13D01;KARANG ANYAR AREA (1);-7.61584,110.18593
FBJN16D01;LAGUNA RESIDENCE (1);-7.54875,110.19732
FGNM16D02;DUSUN BOJONG RW 1 & 2 (1);-7.60297,110.22514
FGNM16D03;DUSUN BOJONG RW 1 & 2 (2);-7.60543,110.22494
FGNM16D04;CABEAN AREA;-7.60031,110.22813
FDXB14D04;DUSUN BANAR;-7.58026,110.22096
FGNM16D01;DUSUN SIKEPAN RW 07;-7.60144,110.23449
FDXB03D08;DUSUN BRONGSONGAN (2);-7.59419,110.18738
FDXB03D07;DUSUN BRONGSONGAN (1);-7.59844,110.18916
FBJN18D04;DUKUH DEMESAN RW 05;-7.540682,110.163005
FBJN05D02;OMAH PAKELAN RW 15;-7.5066,110.20143
FBJN18D03;PUNDUHSARI AREA (2);-7.53753,110.17026
FBJN05D01;DESA MANGGISAN RW 10;-7.50713,110.19575
FGNM15D03;TAMANAGUNG AREA (3);-7.58348,110.27046
FBJN18D02;PUNDUHSARI AREA (1);-7.54227,110.17003
FBJN04D06;BONDOWOSO RW 11;-7.53544,110.21651
FGNM06D03;DESA NGASEM;-7.60219,110.28696
FGNM15D01;TAMANAGUNG AREA (1);-7.5781,110.27227
FDXB04D01;TANJUNG ANOM BANJARNEGORO (1);-7.527055,110.187623
FBJN09D04;KALINEGORO (6) (2);-7.55282,110.20052
FDXB03D01;BOROBUDUR RW 01 (1);-7.601708,110.211996
FGNM07D02;DESA LENGKONGSARI;-7.5993,110.28081
FBJN09D03;KALINEGORO (6) (1);-7.55453,110.2001
FBJN07D01;DUSUN TURUS RW 03;-7.52436,110.16783
FGNM07D01;DESA GUNUNGSARI;-7.59981,110.28628
FBJN08D07;DESA KALINEGORO (3);-7.55184,110.19618
FDXB03D05;DUSUN KANGGAN (3);-7.596863,110.200725
FGNM04D06;GUNUNGPRING AREA (15);-7.58936,110.28768
FDXB03D06;DUSUN SRIYASAN (1);-7.59314,110.19549
FGNM03D04;DESA GUNUNGPRING;-7.595161,110.290779
FDXB05D01;KALINEGORO (7) (1);-7.55929,110.19608
FGNM03D01;GUNUNGPRING AREA (1);-7.5976,110.28661
FBJN18D01;JOGOSARAN (1);-7.53466,110.16004
FGNM05D05;GUNUNGPRING AREA (24);-7.59537,110.28156
FBJN08D03;KALINEGORO MERTOYUDAN RW 01 (3);-7.557053,110.197246
FGNM02D02;DESA KEJI (2);-7.58955,110.26865
FGNM03D08;GUNUNGPRING AREA (8);-7.59311,110.28919
FGNM02D05;DESA KEJI (5);-7.58907,110.26178
FGNM03D02;DESA GUNUNGPRING;-7.59615,110.28788
FGNM03D06;GUNUNGPRING AREA (6);-7.598122,110.283095
FGNM03D05;GUNUNGPRING AREA (5);-7.59767,110.28297
FGNM04D02;GUNUNGPRING AREA (11);-7.58824,110.29205
FGNM02D01;DESA KEJI (1);-7.593438,110.265492
FBJN03D03;BONDOWOSO RW 08;-7.54285,110.20454
FDXB03D02;DESA BOROBUDUR RW 01;-7.599417,110.207968
FGNM02D04;DESA KEJI (4);-7.587196,110.262302
FBJN08D02;KALINEGORO MERTOYUDAN RW 01;-7.55792,110.197471
FGNM05D03;GUNUNGPRING AREA (21);-7.595832,110.274835
FGNM04D01;GUNUNGPRING AREA (10);-7.5887,110.28918
FGNM02D03;DESA KEJI (3);-7.59767,110.28297
FBJN09D01;DESA KALINEGORO (5) (1);-7.55352,110.19862
FGNM04D05;DESA GUNUNGPRING;-7.587119,110.287393
FDXB03D04;DUSUN KANGGAN (2);-7.598451,110.196546
FDXB03D03;DUSUN KANGGAN (1);-7.597579,110.19244
FGNM05D07;GUNUNGPRING AREA (27);-7.59325,110.27951
FGNM05D04;GUNUNGPRING AREA (23);-7.5956,110.27744
FBJN08D01;KALINEGORO MERTOYUDAN RW 01 (1);-7.557,110.19898
FDXB05D03;KALINEGORO (8);-7.55124,110.18539
FGNM05D01;GUNUNGPRING;-7.59594,110.27244
FBJN08D04;DESA KALINEGORO (1);-7.5507,110.19698
FGNM04D04;GUNUNGPRING AREA (13);-7.590959,110.28641
FDXB05D02;KALINEGORO (7) (2);-7.56232,110.19767
KALINEGORO (7) (2);CIBEREM RW 02 (10);-7.56232,110.19767
FGNM04D08;DESA GUNUNGPRING;-7.593141,110.284325
FGNM05D06;GUNUNGPRING;-7.595319,110.279493
FDXB05D05;PERUM ARGA JAYA (1);-7.55536,110.19425
FGNM06D02;GULON RW 16 & 17;-7.60591,110.28941
FGNM05D09;GUNUNGPRING (28);-7.59696,110.27857
FGNM06D01;GULON RW 16 & 17;-7.60558,110.28716
FBJN04D04;BONDOWOSO RW 02;-7.53621,110.21249
FBJN08D06;DESA KALINEGORO (2);-7.55328,110.19593
FGNM04D09;DESA GUNUNGPRING;-7.594182,110.28273
FGNM05D08;GUNUNGPRING AREA (26);-7.59198,110.27694
FGNM04D07;GUNUNGPRING AREA (16);-7.59191,110.28241
FBJN08D05;KALINEGORO (2) (1);-7.551932,110.193814
FDXB05D06;PERUM ARGAJAYA (2);-7.556337,110.195154
FBJN09D02;DESA KALINEGORO (5);-7.55193,110.19916
FGNM03D07;DESA GUNUNGPRING;-7.591654,110.290689
FBJN03D02;BONDOWOSO RW 04 (1);-7.54402,110.214
FGNM06D05;GULON RW 14;-7.601048,110.29397
FDXB05D04;DESA KALINEGORO;-7.55308,110.18856
FBJN04D02;PERUM MADANI HILLS (1);-7.533894,110.217773
FKDO01D01;OPEN AREA DESA SUTAN RW 11;-7.524438,110.221318
FBJN02D05;OPEN AREA BANJARNEGORO RW 01;-7.50146,110.20091
FBJN03D04;BONDOWOSO RW 09;-7.5464,110.20699
FGNM05D02;DESA GUNUNGPRING;-7.59499,110.273079
FBJN08D08;OPEN AREA DESA KALINEGORO;-7.55061,110.19946
FBJN04D05;BONDOWOSO RW 02 (2);-7.538122,110.214668
FDXB01D02;DEYANGAN RW 01;-7.58784,110.21064
FGNM04D03;GUNUNGPRING AREA (12);-7.59139,110.28444
FGNM03D09;DESA GUNUNGPRING;-7.594582,110.285266
FGNM03D03;GUNUNGPRING AREA (3);-7.593379,110.29209
FBJN04D01;BONDOWOSO RW 02;-7.539236,110.215244
FDXB02D08;DUSUN PUTON 1;-7.62354,110.19743
FBJN04D03;PERUM MADANI HILLS (2);-7.53228,110.21674
FDXB01D05;DUSUN SIGUK;-7.59531,110.2063
FDXB01D03;DEYANGAN RW 04;-7.58524,110.21367
FDXB01D06;DUSUN SIGUK (3);-7.44247,109.24229
FKDO01D03;PANDAN SARI SUMBERREJO RW 08 & 09 (1);-7.519856,110.222995
FBJN02D03;PIRIKAN RW 07;-7.508415,110.192614
FDXB02D05;TUKSONGO 2;-7.620475,110.203077
FDXB02D09;DUSUN PUTON (2);-7.62023,110.195459
FBJN03D01;BONDOWOSO RW 10;-7.5427,110.21003
FBJN01D06;BANJARNEGORO AREA (4);-7.50588,110.20319
FBJN01D05;PERUMAHAN LEMBAH HIJAU RW 21;-7.506423,110.20854
FDXB01D01;DEYANGAN RW03;-7.58817,110.21369
FDXB02D04;TUKSONGO 1;-7.62299,110.2017
FDXB02D06;KESUMEN 1;-7.62751,110.19326
FKDO01D06;PANDAN SARI SUMBERREJO RW 08 & 09 (4);-7.523163,110.225282
FBJN01D03;BANJARNEGORO AREA (3);-7.504642,110.199858
FBJN01D07;BANJARNEGORO AREA (5);-7.50435,110.20631
FDXB02D07;KESUMAN 2;-7.626948,110.196158
FKDO01D04;PANDAN SARI SUMBERREJO RW 08 & 09 (2);-7.521654,110.226542
FBJN02D04;OPEN AREA BANJARNEGORO RW01;-7.500154,110.203062
FKDO01D05;PANDAN SARI SUMBERREJO RW08 & 09 (3);-7.52111,110.22463
FBJN02D01;THE LAGUNA PAKELSARI;-7.502072,110.194444
FBJN01D04;PERUM LEMBAH HIJAU (1);-7.504673,110.20795
FBHA06D01;PADUKUHAN GEBLAG;-7.87091,110.327885
FBHA03D02;RINGINHARJO AREA (1);-7.881297,110.316481
FBHA05D01;GUWOSARI AREA (6);-7.871123,110.320798
FPSB08D01;PADUKUHAN KARANG SEMUT;-7.900294,110.384172
FKMO04D01;PADUKUHAN DONGKELAN;-7.8295,110.35327
FSWN08D01;PADUKUHAN GABUSAN;-7.881956,110.351939
FPSB08D02;PADUKUHAN BULU;-7.894997,110.380565
FBY03800;PADUKUHAN KAUMAN RT 03 & 04;-7.847843,110.382965
FPSB02D03;PADUKUHAN KARANGBER;-7.8927,110.307068
FBY03500;PADUKUHAN GROJOGAN;-7.846158,110.387246
FPSB03D02;PADUKUHAN BEJEN;-7.893132,110.333349
FPSB04D02;KEBONDANAS AREA (2);-7.907152,110.331126
FBRE06D01;PADUKUHAN NYANGKRINGAN;-7.88652,110.331246
FKMO09D01;PADUKUHAN JETIS;-7.827862,110.32375
FBRE02D01;PADUKUHAN KADIBESO;-7.899486,110.352803
FBY03600;PADUKUHAN SAMPANGAN;-7.85421,110.396601
FKMO08D02;PADUKUHAN KEMBARAN (2);-7.829028,110.333967
FPSB02D04;PADUKUHAN SANTAN;-7.894431,110.305317
FPPB03D01;PADUKUHAN SOKOWATEN;-7.831968,110.376395
FPSB04D01;PADUKUHAN SERAYU;-7.900624,110.335418
FPPB05D01;PADUKUHAN KRAGILAN;-7.829206,110.380903
FBY03400;PADUKUHAN KAUMAN;-7.841251,110.380617
FBHA02D01;PADUKUHAN SOROPATEN;-7.887062,110.318853
FPSB12D01;PADUKUHAN GESIKAN IV;-7.899561,110.301473
FPSB02D02;PADUKUHAN KALAKIJO;-7.891058,110.30299
FPSB07D01;PADUKUHAN NOGOSARI;-7.890092,110.373614
FBHA02D02;PADUKUHAN MANDINGAN;-7.88792,110.322922
FBHA01D03;PADUKUHAN KADISONO;-7.884433,110.308963
FKMO08D01;PADUKUHAN KEMBARAN (1);-7.831264,110.334441
FBHA01D01;PADUKUHAN DERESAN;-7.884165,110.31365
FBHA01D02;PADUKUHAN KEMBANG GEDE;-7.889046,110.307767
FBY03900;PADUKUHAN GLONDONG;-7.844477,110.403247
FKSH04D01;PADUKUHAN NGRAME;-7.820391,110.320213
FBHA03D01;PADUKUHAN GANDEKAN;-7.878903,110.33142
PADUKUHAN GANDEKAN;FBHA03D01;-7.878903,110.33142
FBHA07D01;PADUKUHAN KRESEN;-7.875658,110.32483
FBY03300;PADUKUHAN DAHROMO 1;-7.881343,110.403339
FBY03200;PADUKUHAN GLAGAH LOR;-7.851046,110.381329
FBY03100;PADUKUHAN KROBOKAN;-7.842414,110.38253
FBY02900;PADUKUHAN TAMANAN (1);-7.837061,110.38358
FBY02800;PADUKUHAN SAREYAN;-7.859575,110.394718
FKSH05D02;PADUKUHAN GEBLAGAN (1);-7.807953,110.324577
FKSH05D01;PADUKUHAN GEBLAGAN;-7.808697,110.317315
FBY03000;PADUKUHAN TAMANAN (2);-7.838151,110.387283
FBY02200;PADUKUHAN PRANGWEDANAN;-7.833212,110.430097
FBRE09D01;PADUKUHAN KEPEK;-7.880624,110.370005
FPSB02D01;PADUKUHAN NGEBLAK;-7.89691,110.296326
FKSH01D01;PADUKUHAN BUNGSING;-7.872568,110.302967
FBY02600;PADUKUHAN NGLAREN;-7.841748,110.423691
FBY02100;PADUKUHAN JATI;-7.861693,110.389413
FBY02500;PADUKUHAN PANDEYAN (2);-7.841752,110.377079
FBY02400;PADUKUHAN PANDEYAN (1);-7.84798,110.38025
FKRK02D04;KEDUNG MENJANGAN AREA (1);-7.40501,109.37518
FKOU06D02;PURBALINGGA KULON AREA (2);-7.38861,109.35647
FPMJ10D02;KANDANG GAMPANG AREA (2);-7.39404,109.35207
FPGE01D04;PERUM SHAMARA KARANGLEWAS;-7.3703,109.34591
FKOU06D01;PURBALINGGA KULON AREA (1);-7.388319,109.35254
FKOU05D02;KALIKAJAR AREA (2);-7.38035,109.3832
FPMJ10D03;KANDANG GAMPANG AREA (3);-7.39151,109.35365
FPPI03D03;DESA DAWUHAN AREA (3);-7.368483,109.325522
FKRK10D03;RAMBEANAK AREA (5);-7.4074,109.36792
FKRK03D03;KELURAHAN BANCAR AREA (1);-7.39114,109.3758
FKRK10D02;MEWEK AREA (1);-7.41117,109.36798
FKRK10D01;MEWEK AREA RW 02 & RW 03;-7.40686,109.36609
FPPI03D04;DESA DAWUHAN AREA (4);-7.36527,109.32741
FPPI03D02;DAWUHAN AREA (2);-7.36946,109.32856
FPPI03D01;DAWUHAN AREA (1);-7.372471,109.335081
FKRK03D07;KEL BANCAR RW 02;-7.390914,109.371328
FKRK03D04;BANCAR AREA (3);-7.39332,109.3717
FKRK03D06;KEL BANCAR AREA RW 02;-7.39237,109.37224
FPPI07D01;PERUM ABDI NEGARA PERMAI BOJANEGARA (1);-7.381761,109.333139
FPPI07D02;PERUM ABDI NEGARA PERMAI BOJONEGARA (2);-7.38418,109.33263
FPMJ08D06;KELAPA SAWIT AREA (6);-7.39611,109.33455
FPPI07D03;PERUM ABDI NEGARA PERMAI BOJONEGARA (3);-7.38185,109.33428
FPPI07D04;PERUM PURI BOJA BOJONEGARA;-7.38395,109.33654
FPMJ08D05;KELAPA SAWIT AREA (5);-7.39737,109.33606
FPPI07D05;BOJONEGARA AREA (5);-7.38087,109.33029
FPPI04D01;BOJONEGARA AREA (6);-7.38483,109.33376
FPPI04D02;BOJONEGARA AREA (7);-7.38501,109.33826
FPPI04D04;GRIYA SAFIRA 3;-7.37849,109.33409
FPPI04D03;BOJONEGARA AREA (8);-7.38673,109.34012
FPPI13D02;KARANG SENTUL AREA (2);-7.387697,109.345098
FPPI13D01;KARANG SENTUL AREA (1);-7.38388,109.34767
FPPI02D05;KARANG JAMBE AREA (6);-7.39153,109.33212
FKOU11D05;WIRASANA (5);-7.38401,109.36839
FPPI02D04;KARANG JAMBE AREA (5);-7.39078,109.32458
FPPI02D03;KARANG JAMBE AREA (7);-7.38726,109.33093
FPPI13D03;KARANG SENTUL AREA (3);-7.430996,109.237202
FPMJ08D04;KLAPA SAWIT AREA (4);-7.39847,109.33654
FPPI02D02;KARANG JAMBE AREA (1);-7.39727,109.324201
FPPI02D01;DESA BABAKAN RW07;-7.38824,109.3362
FKOU11D06;WIRASANA (6);-7.38376,109.36339
FPMJ08D01;KELAPA SAWIT AREA (1);-7.40758,109.32928
FPPI11D01;PADAMARA AREA (1);-7.38259,109.31458
FPPI11D03;PADAMARA AREA (3);-7.38235,109.3195
FPMJ08D02;KELAPA SAWIT AREA (2);-7.4084,109.33415
FPMJ08D03;KELAPA SAWIT AREA (3);-7.40688,109.33514
FKOU12D03;BROBOT AREA (3);-7.37152,109.35684
FPPI11D02;PADAMARA AREA (2);-7.38331,109.31772
FPGE12D04;KARANG KLESEM AREA (2);-7.35875,109.31997
FPGE12D03;KARANG KLESEM AREA (1);-7.360458,109.316376
FPGE03D01;KAJONGAN AREA (1);-7.357825,109.349506
FKRK02D02;JATISABA AREA (2);-7.40613,109.38756
FKOU12D01;BROBOT AREA (1);-7.37162,109.36063
FKOU12D04;BROBOT AREA (4);-7.37347,109.35191
FKRK13D07;KARANG PETIR AREA (1);-7.422872,109.353596
FKOU12D02;BROBOT AREA (2);-7.37241,109.35264
FKRK02D01;JATISABA AREA (1);-7.408062,109.384497
FKRK02D03;JATISABA AREA (3);-7.41184,109.38283
FPGE03D02;KAJONGAN AREA (2);-7.361365,109.349365
FKRK13D08;KARANGPETIR AREA (2);-7.41689,109.35309
FKRK03D01;PENAMBONGAN (1);-7.399357,109.368458
FPGE03D03;KAJONGAN AREA (3);-7.36288,109.34919
FKRK03D02;PENAMBONGAN (2);-7.39665,109.36398
FPMJ03D01;GAMBARSARI (1);-7.42108,109.3667
FKOU14D03;DESA GALUH (3);-7.37448,109.372121
FPPI10D01;DESA GEMURUH;-7.3731,109.33884
FKOU14D02;DESA GALUH (2);-7.367516,109.371565
FPMJ03D02;GAMBARSARI (2);-7.424079,109.368462
FPGE12D02;KUTASARI (2);-7.36854,109.25633
FKOU14D01;DESA GALUH (1);-7.370422,109.366705
FPPI10D03;GEMURUH (3);-7.37594,109.34415
FPGE12D01;KUTASARI (1);-7.356792,109.325365
FPPI10D02;GEMURUH (2);-7.37402,109.34063
FPGE02D04;BEJI AREA (3);-7.34324,109.33837
FPGE02D03;SUMINGKIR AREA (1);-7.34144,109.335
FKRK13D05;DESA GRECOL (5);-7.41409,109.3555
FPPI10D06;GEMURUH (6);-7.37521,109.34976
FPPI10D04;GEMURUH (4);-7.377686,109.3467
FPPI10D07;PURI TAMAN INDAH RESIDENCE (1);-7.36854,109.25633
FPGE02D01;BEJI AREA (1);-7.34673,109.34283
FPPI10D05;GEMURUH (5);-7.37988,109.34914
FPMJ01D01;KALIMANAH KULON (1);-7.41507,109.33567
FPGE02D02;DESA BEJI RW 01, 02, 03 (2);-7.34707,109.33968
FPMJ02D04;KEDUNG WULUH RW 01-04;-7.40009,109.31652
FKRK04D04;KARANGMANYAR RW (02);-7.40326,109.36289
FPMJ03D07;GAMBARSARI (7);-7.433184,109.369662
FKRK04D03;KALIKABONG RW 05;-7.39854,109.35139
FKRK04D01;KALIKABONG RW 05;-7.40138,109.35464
FKRK04D05;KARANGMANYAR RW (02);-7.401019,109.36054
FPMJ03D11;GAMBAR SARI 11;-7.436582,109.365816
FKOU11D03;WIRASANA (3);-7.377827,109.368221
FKRK13D03;DESA GRECOL;-7.41189,109.36017
FKRK13D04;DESA GRECOL (4);-7.41316,109.35994
FPMJ03D04;GAMBARSARI (4);-7.426043,109.366217
FKOU11D02;WIRASANA (2);-7.378719,109.367102
FKRK13D02;DESA GRECOL (2);-7.411465,109.364213
FPMJ02D01;KEDUNG WULUH RW 01-04;-7.40278,109.32521
FKRK13D06;DESA GRECOL (6);-7.40906,109.3564
FPMJ03D06;GAMBARSARI;-7.427743,109.370101
FPMJ03D09;GAMBARSARI;-7.43321,109.3633
FKOU11D04;WIRASANA;-7.377093,109.364789
FKOU11D01;WIRASANA (1);-7.378218,109.369515
FPMJ03D03;GAMBARSARI (3);-7.422627,109.366454
FPMJ03D05;GAMBARSARI (5);-7.429033,109.365672
